departure_spot_id,sight_seeing_spot_id,departure_spot_name,sight_seeing_spot_name,distance,time,fee
0,203,東京駅,大江戸温泉物語 浦安万華郷,21563,37,670.0
0,204,東京駅,道の駅　あきた港　ポートタワー・セリオン,620387,447,9560.0
0,205,東京駅,道の駅　あきた港,620387,447,9560.0
0,206,東京駅,あぶくま洞,240234,183,6040.0
0,207,東京駅,国立競技場,6462,20,0
0,208,東京駅,佐野厄除け大師,92062,86,2780.0
0,209,東京駅,城ヶ崎海岸,163009,162,3650.0
0,210,東京駅,箱根小涌園ユネッサン,94526,87,2650.0
0,211,東京駅,箱根強羅公園,95357,88,2650.0
0,212,東京駅,道の駅　みなかみ水紀行館,175305,136,5220.0
0,213,東京駅,伊香保おもちゃと人形自動車博物館,142409,121,4470.0
0,214,東京駅,山居倉庫,493920,367,10890.0
0,215,東京駅,山中湖　花の都公園,120395,105,3270.0
0,216,東京駅,道の駅　アグリパークゆめすぎと,53924,72,1420.0
0,217,東京駅,身延山久遠寺,185938,150,4520.0
0,218,東京駅,湯滝,187894,157,4420.0
0,219,東京駅,道の駅富士川,135276,119,3580.0
0,220,東京駅,碓氷第三橋梁（めがね橋）,157697,129,4720.0
0,221,東京駅,長瀞渓谷,106126,104,3220.0
0,222,東京駅,帝国劇場,983,3,0
0,223,東京駅,航空科学博物館,77716,75,2480.0
0,224,東京駅,岩下の新生姜ミュージアム,107167,98,3260.0
0,225,東京駅,金蛇水神社,337214,258,8030.0
0,226,東京駅,清澄庭園,4375,17,0
0,227,東京駅,箱根湯寮,86598,78,2650.0
0,228,東京駅,仙台泉プレミアム・アウトレット,380281,276,8760.0
0,229,東京駅,道の駅　ちちぶ,112447,112,3650.0
0,230,東京駅,箱根海賊船,98204,89,2650.0
0,231,東京駅,ミュージアムパーク茨城県自然博物館,52252,62,1670.0
0,232,東京駅,海の公園,51299,64,1690.0
0,233,東京駅,明月院,55815,83,1570.0
0,234,東京駅,大崎八幡宮,369207,272,8500.0
0,235,東京駅,等々力渓谷公園,19420,35,600.0
0,236,東京駅,お菓子の城　那須ハートランド（見学）,183820,141,5050.0
0,237,東京駅,道の駅あいづ　湯川・会津坂下,303279,224,7260.0
0,238,東京駅,甲州市勝沼　ぶどうの丘,112019,94,3160.0
0,239,東京駅,奈良井宿,235323,189,5490.0
0,240,東京駅,猊鼻渓舟下り,466679,343,10170.0
0,241,東京駅,猊鼻渓,466679,343,10170.0
0,242,東京駅,道の駅　水の郷　さわら,93893,85,3050.0
0,243,東京駅,報国寺,59583,72,2170.0
0,244,東京駅,高遠城址公園,218292,181,5070.0
0,245,東京駅,伊豆・三津シーパラダイス,142910,123,3900.0
0,246,東京駅,道の駅　美ヶ原高原,244427,201,5350.0
0,247,東京駅,清水公園,41015,59,1240.0
0,248,東京駅,盛岡城跡公園（岩手公園）,542218,390,8510.0
0,249,東京駅,道の駅　いいで,345543,266,7170.0
0,250,東京駅,石神井公園,24864,49,630.0
0,251,東京駅,毛越寺,457568,327,10170.0
0,252,東京駅,高麗神社,72081,81,2450.0
0,253,東京駅,道の駅　日光,153921,122,4270.0
0,254,東京駅,群馬サファリパーク,136444,114,4370.0
0,255,東京駅,特別史跡　三内丸山遺跡,709861,491,10820.0
0,256,東京駅,東京ドームシティ,3698,14,0
0,257,東京駅,長池親水公園,121864,108,3270.0
